"","ymdh","time_jjj","t2m","d2m","u10","v10","blh","sp","e","tp","fal","wind_direction","wind_speed","bc"
"114",2016010608,120,-6.12206299,-11.82572331,0.367216077,-1.683329244,40.34897161,100829.7076,-1.39e-06,-1.73e-18,0.1484298,-38.66108065,1.722917581,130
"115",2016010609,121,-4.658866919,-11.97466231,0.470914995,-1.37194644,64.70153219,100896.6386,-1.01e-05,-1.73e-18,0.1484298,-59.51613263,1.450516448,265
"116",2016010610,122,0.461100003,-10.38525479,0.077390895,-0.942615604,210.4027365,100978.9308,-2.89e-05,-1.73e-18,0.1484298,-14.74533896,0.945787253,150
"117",2016010611,123,0.41598479,-10.1047711,-0.194264818,-0.454310752,430.2384365,100962.4724,-4.81e-05,-1.73e-18,0.148417524,72.73326132,0.494102296,176
"118",2016010612,124,0.491583254,-9.710137087,-0.174322718,0.058055498,619.2606925,100894.4442,-6.26e-05,-1.73e-18,0.148392973,-224.8766368,0.183735818,193
"119",2016010613,125,2.720518604,-10.30371883,-0.075498535,0.735077201,817.0631234,100760.2164,-7.09e-05,-1.73e-18,0.148380698,-18.42289562,0.738944193,129
"120",2016010614,126,2.755879175,-10.41460773,0.055233007,1.245084491,946.6121191,100676.0955,-7.06e-05,-1.73e-18,0.148368422,7.979721398,1.24630898,183
"121",2016010615,127,2.816845678,-10.31024171,-0.035171178,1.526744391,893.5169105,100644.2758,-6.26e-05,-1.73e-18,0.148331596,-4.145875762,1.527149452,217
"122",2016010616,128,1.22683928,-9.370947519,-0.435785802,1.128080043,459.8922348,100714.1328,-3.98e-05,-1.73e-18,0.148331596,-66.35647313,1.20932785,380
"123",2016010617,129,0.184312079,-9.629688279,-1.333180286,1.669697406,68.59462861,100790.5731,-8.13e-06,-1.73e-18,0.148356147,-121.2838032,2.136646696,277
"124",2016010618,130,-2.411641618,-10.46787789,-1.231253999,0.987957782,40.92879448,100826.4159,-8.85e-07,-1.73e-18,0.1484298,-161.0269008,1.578621864,264
"125",2016010619,131,-0.859434452,-10.63094979,-0.857671999,-0.551499931,25.77056799,100882.0089,-7.16e-07,-1.73e-18,0.1484298,179.881899,1.019683005,332
"126",2016010620,132,-0.488758114,-10.76358161,-0.064862749,-1.028481771,27.17870925,100936.5046,-6.22e-07,-1.73e-18,0.148454351,11.33695602,1.030525075,254
"127",2016010621,133,-0.721650155,-10.93535069,0.263074001,-1.176624499,55.42436626,100999.0467,-6.04e-07,-1.73e-18,0.148466626,-39.59386779,1.205675389,224
"128",2016010622,134,-2.410422288,-10.76358161,0.452745526,-1.2365421,101.9758596,101025.746,-6.79e-07,-1.73e-18,0.148466626,-63.17622708,1.316819986,197
"129",2016010623,135,-4.436948848,-11.58111544,0.432360269,-1.368643895,101.5617004,101099.6261,-6.79e-07,-1.73e-18,0.148466626,-55.07696407,1.43531234,502
"130",2016010701,137,-4.533275922,-11.74853594,-0.556324716,-1.62246806,97.58577217,101156.682,-6.04e-07,-1.73e-18,0.148478901,59.45848271,1.715196722,665
"131",2016010702,138,-4.799089875,-11.43217643,-0.968904599,-1.126614534,49.79180122,101150.8302,-5.48e-07,-1.73e-18,0.148478901,127.85026,1.485946308,471
"132",2016010703,139,-4.622287017,-11.32563612,-1.16743928,-0.774657607,57.32949855,101120.8392,-5.85e-07,-1.73e-18,0.148478901,177.2914634,1.401074188,211
"133",2016010704,140,-5.195372145,-11.92900218,-0.718963617,-0.997343491,54.67887971,101080.9732,-6.6e-07,-1.73e-18,0.148478901,112.428265,1.229472538,252
"134",2016010705,141,-5.128308992,-11.94204793,-0.330314253,-1.141711882,50.37162409,101070.3666,-6.6e-07,-1.73e-18,0.148478901,50.69256277,1.188534193,431
"135",2016010706,142,-5.937944151,-12.78023754,0.446984475,-0.227378739,38.44383932,101035.9868,-5.85e-07,-1.73e-18,0.148528003,-198.039058,0.50149398,301
"136",2016010707,143,-5.796501864,-12.48779525,0.712879137,0.034937684,45.73304113,101089.751,-5.66e-07,-1.73e-18,0.148552554,273.9287235,0.713734759,275
"137",2016010708,144,-6.757333952,-11.89203921,0.696925457,0.201008513,47.05835055,101097.0659,-7.16e-07,-1.73e-18,0.148552554,232.1991476,0.725334072,294
"138",2016010709,145,-6.285453218,-12.64978001,0.578602333,0.507673396,166.7503575,101112.7929,-7.55e-06,-1.73e-18,0.148552554,153.1082021,0.769748619,424
"139",2016010710,146,-2.193381538,-12.86720922,0.784227538,0.845476559,406.879858,101113.8901,-2.39e-05,-1.73e-18,0.148528003,134.6099282,1.153188381,189
"140",2016010711,147,-1.953173516,-13.17813299,1.19326216,1.204510368,601.534679,101026.4775,-3.88e-05,-1.73e-18,0.148528003,140.5272763,1.69549987,197
"141",2016010712,148,-1.956831506,-13.24336176,1.406421047,1.408324567,809.525426,100952.5973,-5.05e-05,-1.73e-18,0.148528003,141.2499413,1.990326166,535
"142",2016010713,149,0.486705934,-13.87173218,1.564628371,1.513062419,995.3172403,100804.1056,-5.82e-05,-1.73e-18,0.148515728,144.3872429,2.176561468,433
"143",2016010714,150,0.637902861,-14.1554773,1.377615792,1.424837292,1117.494202,100685.6048,-5.97e-05,-1.73e-18,0.148503452,138.3389458,1.981914876,608
"144",2016010715,151,0.741545916,-14.2239675,1.019101156,1.406909191,1085.85244,100601.8496,-4.54e-05,-1.73e-18,0.148491177,112.8393051,1.73722786,575
"145",2016010716,152,-0.41681764,-13.68474306,0.241802428,1.440406432,592.5888404,100612.4561,-3.06e-05,-1.73e-18,0.148491177,29.93763683,1.460561229,565
"146",2016010717,153,-1.403255659,-13.36620926,-0.006365923,1.512590627,116.3885996,100608.0672,-9.22e-06,-1.73e-18,0.148503452,-0.757547625,1.512604023,615
"147",2016010718,154,-4.558881854,-13.16617439,1.319118966,1.714517658,78.94860846,100591.243,-1.33e-06,-1.73e-18,0.14856483,118.0423096,2.163248864,621
"148",2016010719,155,-4.747878013,-13.19444019,1.623125196,1.022870399,66.27533713,100602.2153,-9.78e-07,-1.73e-18,0.148577105,181.5257894,1.918540918,469
"149",2016010720,156,-4.384517655,-13.41730513,1.906303011,0.740738707,69.58861068,100606.2385,-9.03e-07,-1.73e-18,0.148577105,216.0322347,2.045161363,497
"150",2016010721,157,-4.0699305,-13.6456058,1.959038786,0.486914542,68.42896494,100594.169,-9.22e-07,-1.73e-18,0.148577105,238.8933038,2.018642795,458
"151",2016010722,158,-4.218688767,-13.69452737,1.895224067,0.178362491,61.05693129,100572.2244,-9.03e-07,-1.73e-18,0.148577105,265.8530069,1.903598551,245
"152",2016010723,159,-6.253750637,-13.79345766,1.920927218,-0.013185113,54.67887971,100538.2103,-8.47e-07,-1.73e-18,0.148601656,-281.5078505,1.920972468,353
"153",2016010801,161,-6.862196337,-14.25984332,1.726824114,-0.652935238,44.24206803,100507.1221,-7.91e-07,-1.73e-18,0.148601656,-217.6738107,1.846143534,542
"154",2016010802,162,-6.774404572,-14.64686731,1.522528383,-0.987907648,43.57941332,100488.1035,-8.47e-07,-1.73e-18,0.148601656,-179.1401371,1.814952946,151
"155",2016010803,163,-7.091430388,-15.20022465,1.290313711,-1.176624499,43.91074067,100490.6637,-9.22e-07,-1.73e-18,0.148601656,-149.6611308,1.746240157,329
"156",2016010804,164,-7.456010076,-15.93187395,0.98054643,-1.226162673,44.98755458,100465.7931,-9.78e-07,-1.73e-18,0.148601656,-121.4190179,1.570014714,250
"157",2016010805,165,-7.196292773,-16.21670621,0.728389659,-1.313444216,46.312864,100473.4737,-9.78e-07,-1.73e-18,0.148601656,-91.14136954,1.501894539,348
"158",2016010806,166,-7.926671479,-16.59829448,0.592783381,-1.466776658,53.27073845,100501.636,-9.97e-07,-1.73e-18,0.148663033,-69.1326709,1.582032206,268
"159",2016010807,167,-7.809615793,-16.42978684,0.388044492,-1.392233502,54.26472051,100544.4279,-9.97e-07,-1.73e-18,0.148663033,-48.92798616,1.445300194,350
"160",2016010808,168,-7.348709031,-15.63617022,0.290549782,-1.287495649,53.43640213,100632.9378,-1.2e-06,-1.73e-18,0.148663033,-39.95145699,1.319872806,277
