ymdh,time_jjj,t2m,d2m,u10,v10,blh,sp,e,tp,fal,wind_direction,wind_speed,bc
2016010605,117,-6.392754264,-13.04984976,0.018007754,-2.072085957,76.38082145,102722.7945,-1.56E-06,-1.73E-18,0.149215428,-1.564275896,2.072164205,0
2016010606,118,-6.901214899,-14.88060371,-0.010354343,-2.04613739,83.50435959,102748.0308,-1.63E-06,-1.73E-18,0.149252254,0.91087035,2.046163589,0
2016010607,119,-6.668322857,-15.44483251,-0.22750165,-1.999901762,90.13090668,102769.6096,-1.58E-06,-1.73E-18,0.149252254,20.38850977,2.012800054,0
2016010608,120,-6.339103741,-15.39808523,-0.107405895,-2.112188288,95.92913539,102877.5039,-1.73E-06,-1.73E-18,0.149252254,9.145218412,2.114917349,0
2016010609,121,-5.064903829,-15.06106996,0.019780385,-2.206074922,139.6643462,102928.7079,-7.83E-06,-1.73E-18,0.149252254,-1.61389528,2.206163599,0
2016010610,122,0.150170837,-14.33485639,0.01490565,-2.257028471,241.6303397,102979.912,-1.92E-05,-1.73E-18,0.149252254,-1.188721347,2.25707769,0
2016010611,123,0.691553384,-14.75340762,0.150511927,-2.394791773,674.1782016,102962.3563,-3.15E-05,-1.73E-18,0.149252254,-11.29808421,2.399516925,0
2016010612,124,0.970779968,-14.99801549,0.954400122,-2.782604901,1051.560059,102894.6938,-4.21E-05,-1.73E-18,0.149252254,-59.47460156,2.94172902,0
2016010613,125,3.194837997,-16.31454936,1.342606328,-3.090685161,1254.580896,102778.3875,-4.79E-05,-1.73E-18,0.149252254,-73.76561463,3.369707185,0
2016010614,126,3.505767162,-16.57111582,1.236691621,-3.419052481,1424.303333,102694.998,-4.86E-05,-1.73E-18,0.149239979,-62.47169683,3.63583911,0
2016010615,127,3.813038337,-17.2244906,0.967694855,-3.589841232,1553.272506,102667.2015,-5.13E-05,-1.73E-18,0.149227703,-47.39510987,3.717982437,0
2016010616,128,1.812117709,-17.19078907,0.201031913,-2.57831891,931.7023882,102732.3038,-3.54E-05,-1.73E-18,0.149227703,-14.0062899,2.586144279,0
2016010617,129,0.381843549,-17.03424004,0.16380666,-2.37639188,124.3404561,102832.5175,-1.17E-05,-1.73E-18,0.149239979,-12.38795358,2.382030854,0
2016010618,130,-1.63370904,-16.78637074,0.875074881,-3.009065123,179.6721243,102887.3789,-4.87E-06,-1.73E-18,0.149276805,-50.94127346,3.133724455,0
2016010619,131,-0.939910236,-17.90613118,1.22694215,-4.211663256,437.693302,102949.1895,-5.62E-06,-1.73E-18,0.14928908,-51.02544263,4.386740751,0
2016010620,132,-0.511925385,-18.44752991,0.991625374,-4.578245739,641.7081208,103018.6807,-6.05E-06,-1.73E-18,0.14928908,-38.39404279,4.684405504,0
2016010621,133,-0.891137034,-18.08224884,0.55334234,-4.281016698,688.4252778,103085.246,-5.62E-06,-1.73E-18,0.14928908,-23.13759724,4.316629671,0
2016010622,134,-1.811731229,-17.17556903,0.167351922,-4.097961353,650.0741365,103095.8526,-5.02E-06,-1.73E-18,0.14928908,-7.346730316,4.101377076,0
2016010623,135,-3.919952902,-17.24840782,0.033961434,-3.779501667,570.0585803,103158.7604,-4.56E-06,-1.73E-18,0.14928908,-1.617380831,3.779654247,0
2016010700,136,-4.221127427,-17.29189366,-0.157482723,-3.46528811,480.9315218,103223.8627,-4.16E-06,-1.73E-18,0.14928908,8.174615859,3.468864727,0
2016010701,137,-4.830792457,-17.11795029,-0.32100794,-3.344981117,426.1796764,103241.7841,-3.71E-06,-1.73E-18,0.14928908,17.22132899,3.360348906,0
2016010702,138,-4.424755547,-17.00706139,-0.393685814,-3.20580244,390.2306584,103252.7564,-3.38E-06,-1.73E-18,0.14928908,21.9946206,3.229885107,0
2016010703,139,-4.497915351,-16.81572369,-0.58734576,-3.163341148,372.1733176,103212.5246,-4.43E-06,-1.73E-18,0.14928908,33.04476451,3.217406139,0
2016010704,140,-5.575803124,-17.17448188,-0.48187421,-2.734482104,323.2197009,103159.8576,-4.11E-06,-1.73E-18,0.14928908,31.39749126,2.77661577,0
2016010705,141,-5.361201033,-17.11795029,-0.405207916,-2.457540126,263.2494496,103168.2697,-3.69E-06,-1.73E-18,0.14928908,29.41438383,2.490722169,0
2016010706,142,-6.492739329,-17.09620737,-0.338291093,-2.728348807,333.8221762,103086.709,-3.43E-06,-1.73E-18,0.149325907,22.20507675,2.749241364,0
2016010707,143,-6.222048055,-16.79180647,-0.084361691,-2.321663993,317.7527995,103114.5055,-3.19E-06,-1.73E-18,0.149325907,6.537736049,2.323196202,0
2016010708,144,-6.094018399,-16.01993278,0.127024565,-2.144741945,276.0883846,103141.9362,-3.08E-06,-1.73E-18,0.149325907,-10.64824788,2.148500233,0
2016010709,145,-5.624576326,-16.12538594,0.354807659,-2.821291856,621.0001611,103128.7695,-1.08E-05,-1.73E-18,0.149325907,-22.5187071,2.843514764,0
2016010710,146,-1.464222162,-16.7146191,1.043031676,-3.443585672,740.1123452,103114.1397,-2.46E-05,-1.73E-18,0.149325907,-52.93928235,3.598082456,0
2016010711,147,-1.348385806,-16.14278028,1.58855889,-3.224202333,851.8524956,103016.4863,-3.63E-05,-1.73E-18,0.149325907,-82.40205166,3.594301049,0
2016010712,148,-1.511776034,-15.60138155,1.990502987,-2.729292391,974.0294577,102945.5321,-4.53E-05,-1.73E-18,0.149325907,-113.4230653,3.378037759,0
2016010713,149,0.993947239,-15.96340118,2.400423925,-2.151347035,1116.91438,102797.0404,-5.08E-05,-1.73E-18,0.149313631,-151.2116133,3.223403338,0
2016010714,150,1.313411715,-16.10364302,2.49481653,-1.716826485,1250.356472,102691.3406,-5.12E-05,-1.73E-18,0.149313631,-174.251287,3.028465403,0
2016010715,151,1.571909687,-16.45370405,2.476203903,-1.50263286,1328.632559,102610.8771,-4.47E-05,-1.73E-18,0.149313631,-184.5666853,2.896461856,0
2016010716,152,0.258691213,-14.87299369,1.548674691,-0.856749437,1294.671505,102610.1456,-3.04E-05,-1.73E-18,0.149313631,-191.7879209,1.769862395,0
2016010717,153,-0.190022249,-16.07320293,1.973219834,0.238280091,57.49516223,102584.1778,-5.89E-06,-1.73E-18,0.149313631,261.11182,1.987554758,0
2016010718,154,-3.591953116,-14.93169958,2.407957607,0.45766343,55.0930389,102578.3259,-1.47E-06,-1.73E-18,0.149350458,248.9352593,2.451064187,0
2016010719,155,-3.979700075,-14.66208736,2.454046015,0.13826016,57.82648958,102592.2242,-1.82E-06,-1.73E-18,0.149362733,272.6129064,2.457937695,0
2016010720,156,-3.890688981,-14.75014619,2.20454819,-0.541120504,56.50118016,102600.2705,-1.86E-06,-1.73E-18,0.149362733,-239.4177347,2.269987692,0
2016010721,157,-3.644384309,-14.9936669,1.721506221,-1.055373923,51.86259719,102603.1965,-1.73E-06,-1.73E-18,0.149362733,-183.7502176,2.019256741,0
2016010722,158,-3.723640763,-15.28828348,1.17332006,-1.722959783,54.18188868,102591.1269,-1.62E-06,-1.73E-18,0.149362733,-107.6137166,2.084531213,0
2016010723,159,-5.125870331,-15.47635975,0.706231771,-1.951778965,57.49516223,102570.2796,-1.60E-06,-1.73E-18,0.149362733,-62.49303924,2.075621459,0
2016010800,160,-5.166108223,-15.80141642,0.267948736,-2.222587646,71.74223849,102588.9325,-1.69E-06,-1.73E-18,0.149362733,-21.59605586,2.238680944,0
2016010801,161,-5.428264186,-16.07429008,0.01490565,-2.580677871,97.75143585,102547.9692,-1.95E-06,-1.73E-18,0.149362733,-1.039644321,2.580720917,0
2016010802,162,-4.921022881,-16.62873457,-0.198253238,-2.562277978,136.5995682,102538.0942,-2.12E-06,-1.73E-18,0.149362733,13.89959432,2.569936338,0
2016010803,163,-4.90029427,-16.84942521,-0.258522694,-2.343838223,173.0455772,102541.7516,-3.30E-06,-1.73E-18,0.149362733,19.77386554,2.358052501,0
2016010804,164,-5.357543043,-17.1701333,-0.291759527,-2.514155181,205.2671625,102525.6589,-3.41E-06,-1.73E-18,0.149362733,20.79539765,2.531027439,0
2016010805,165,-5.057587848,-17.20057339,-0.282010056,-2.470750305,217.360611,102536.6312,-3.28E-06,-1.73E-18,0.149362733,20.45657094,2.486792461,0
